StudentID,CourseName,TotalTimeSpent,QuizzesAttempted,ForumPosts,AssignmentScore,CertificateEarned,DeviceType
cc00abb0-92bf-4441-9deb-f0d58c424a77,Data Prep,16.2,5,2,65.5,No,Tablet
ea1c7024-5dff-4fd0-803a-c3207391b4fd,DL Advanced,21.8,15,2,95.4,No,Tablet
241eae6d-6447-47e8-ad19-8a28da0f44ff,DL Advanced,43.4,6,0,,Yes,Desktop
11fd6f17-1859-4704-9bff-87652867bdf3,ML Basics,55.8,3,3,80.4,No,Desktop
765ef214-3e1f-40a9-8ada-0d46a1b09b85,Data Prep,93.7,2,3,53.2,No,Tablet
b7b75ae8-ac93-46d0-9002-63d704452d4e,AI Ethics,80.0,5,2,18.7,Yes,Desktop
a3d96e92-ffe4-485a-9386-a2ba0606c15d,Data Prep,39.0,7,1,42.6,No,Desktop
823d3234-3e05-49a0-b58e-406395ebec16,DL Advanced,70.2,3,3,54.9,Yes,Mobile
c2642ed5-b971-4715-835b-44e8513feffc,AI Ethics,101.3,3,4,67.8,No,Tablet
6334434c-0db6-4eb4-abd3-bedd094a085f,Data Prep,106.8,4,4,60.8,Yes,Mobile
dfe428c2-ef69-462d-8176-645c8f0376f0,DL Advanced,52.1,2,5,39.4,Yes,Mobile
6ec0f6a9-ba24-457f-8b6a-4709c99877fd,DL Advanced,84.0,3,5,26.5,Yes,Tablet
7557af36-ba03-42f6-a5ff-57cebc0922d3,ML Basics,94.7,5,2,16.8,No,Mobile
bbbea4db-a93e-47f2-b0c4-d452f59288a8,ML Basics,22.3,7,3,69.4,No,Desktop
0f7fba25-1192-4e6d-985c-770f1d33ab19,ML Basics,47.2,5,3,64.5,Yes,Mobile
547c0e58-ea69-458c-bf1b-29467d9b0d30,DL Advanced,115.5,7,2,68.7,Yes,Tablet
df0f905a-51f3-478e-aeb8-8271a0a7b503,Data Prep,52.5,2,2,37.3,Yes,Desktop
61d4201f-3d7f-4a49-8f9e-cb1540ed1872,ML Basics,0.0,6,4,26.2,No,Desktop
b5221c5d-c0e3-499f-9c7c-54cc23d216ff,Data Prep,57.0,4,1,76.0,No,Desktop
f8df34e5-e50f-4845-9b21-21fb038c295d,ML Basics,88.1,2,6,77.4,Yes,Desktop
f26e2798-9974-48dc-a37f-92b563881672,AI Ethics,60.2,6,1,45.6,Yes,Mobile
ca928456-de8a-47e8-86f0-65fc069e5618,AI Ethics,77.9,3,4,61.2,No,Mobile
ea192cd0-a012-4b5c-b1cd-0f371533cfb8,ML Basics,83.5,3,2,37.4,Yes,Desktop
ecf77bcc-3bf7-4f1e-9e4c-f8593bffc532,DL Advanced,51.1,4,4,70.2,Yes,Tablet
e93f0df6-c376-46d8-b61b-46d484fd7170,ML Basics,47.0,4,3,83.6,Yes,Desktop
676b400d-697c-49b1-8a87-8d165563021a,ML Basics,63.8,5,5,68.8,No,Mobile
ff2e3064-0769-4b82-af6f-92eefd2ebdbb,DL Advanced,64.4,4,5,51.3,No,Desktop
20e8b1da-dd97-463a-93d5-3e4e132dc5df,AI Ethics,61.4,6,1,45.9,No,Mobile
95362e2c-9986-4f90-b1d3-f9c504a6c1f6,Data Prep,62.4,4,4,64.2,Yes,Desktop
ebcc674d-f482-4d74-b56f-2af2f4cbc850,ML Basics,41.3,7,2,68.0,No,Tablet
82300408-2638-4d17-82bc-69a3c6aee91b,DL Advanced,78.8,9,3,55.9,Yes,Desktop
1fdd93bd-cfb1-4576-8ef8-28c3733d38d1,ML Basics,75.0,3,1,62.5,No,Tablet
29cb6f7a-6438-4998-96fc-525ec29b3b91,DL Advanced,26.6,4,4,9.7,No,Tablet
b52fd6d8-f0f9-4bec-b8b2-6d6d9d997043,Data Prep,50.3,3,3,95.2,No,Desktop
55cdecd4-93a1-4fe0-a00c-08df53d82f23,Data Prep,62.3,4,4,79.1,Yes,Tablet
8e870e9c-a18e-4545-92ff-4a581e29c7f5,AI Ethics,46.6,5,4,37.4,Yes,Tablet
b5a10b63-c276-4919-8cbe-f299e85403a4,DL Advanced,75.9,2,4,56.3,No,Mobile
21cc976e-8009-4fd3-8823-2aa7d26432bb,DL Advanced,58.3,5,3,4.7,No,Mobile
66206fa7-b09b-4ea1-ae2c-bee1faf238bd,AI Ethics,64.2,10,1,4.1,Yes,Tablet
23f1fda6-cfc4-48a8-bee7-58a50f4df2e8,AI Ethics,50.0,5,5,25.1,No,Desktop
275b294a-ff96-4ba9-b13d-0dc176e92c3c,DL Advanced,10.2,5,5,69.0,No,Tablet
18e0b236-ad4c-49e9-bc19-5bb919cf97e5,AI Ethics,8.7,7,4,85.2,No,Desktop
f910b9b4-a3c4-416f-a9dd-f1ea2cdc6dc9,Data Prep,74.7,5,5,55.9,No,Mobile
0f66b318-97cd-4d86-acef-51b13db97ba9,ML Basics,66.7,7,3,53.2,Yes,Desktop
47b804b5-efd2-4acc-8980-75edd5950dbb,Data Prep,71.0,3,2,40.2,Yes,Tablet
9f7f870e-e4d2-4016-9f0c-e42ae578dff7,AI Ethics,63.4,3,5,16.2,Yes,Tablet
b16b350e-13df-4143-9f6e-29b4967963b9,DL Advanced,65.4,6,6,11.8,No,Tablet
9db65ae7-1ccc-4014-a8aa-5386d6580a63,DL Advanced,84.2,4,3,76.1,Yes,Tablet
dcb465ac-5761-48a5-8e57-9a5586b54628,Data Prep,71.1,4,0,92.8,No,Tablet
21fd44c0-30be-4222-a14d-8f720f6bce10,DL Advanced,86.0,2,3,45.8,Yes,Desktop
021809d6-1ee2-4394-8e0e-147b6ef49a61,AI Ethics,64.3,2,1,65.9,Yes,Tablet
baffd1ce-f524-4807-bec1-d46f79f2128a,Data Prep,52.5,3,0,,No,Mobile
2985201e-a2f1-4f45-a2f3-e27c2d214e91,DL Advanced,64.9,4,1,9.0,Yes,Tablet
36b8fac3-0542-4008-8dda-41c6aa74f358,ML Basics,39.1,6,4,77.0,Yes,Desktop
bfb023e7-40a8-4618-a04b-438cb1be05f5,ML Basics,50.5,4,2,61.7,No,Tablet
7fd8a516-9df2-451a-89bc-02a4762f3f87,AI Ethics,64.4,5,8,59.9,Yes,Tablet
c097577c-d3a1-4946-a38a-d657f65ec57b,DL Advanced,64.1,4,7,29.3,Yes,Desktop
54bdff19-ec60-459b-9524-0418cada0d6a,AI Ethics,57.3,5,3,68.4,Yes,Tablet
0f90b5b8-b4b7-4c81-b46e-9ef806e9529b,Data Prep,25.3,8,3,,No,Desktop
193c638a-cf29-463d-b2b4-827b58840e8a,ML Basics,75.9,4,3,11.3,No,Tablet
7a1cb1dd-a86b-4569-abbc-00070d87fed2,Data Prep,80.9,2,0,53.4,No,Mobile
b9248a3f-ee10-4720-b424-16f05a1857e7,DL Advanced,101.1,2,3,10.1,Yes,Tablet
16e53a9c-8b81-453f-99bc-02fc053c87cf,AI Ethics,71.0,3,3,,Yes,Desktop
fe4e1f89-a6a7-4130-aac1-4ac412e97eba,AI Ethics,60.0,6,4,50.8,No,Mobile
949e0908-5da5-432c-8525-8967292e8462,AI Ethics,34.7,4,1,80.8,No,Desktop
8d82550d-9445-4352-87e0-d385bffea269,Data Prep,97.3,3,3,36.8,Yes,Tablet
7bfdf317-4f0b-4bdb-a138-8573e9eeea75,ML Basics,66.2,4,4,12.5,Yes,Mobile
d45fe189-fd40-49bc-be26-6dea7e4cfddd,Data Prep,64.8,3,4,4.1,No,Desktop
d4bc7ba8-fa0f-4fe8-90bb-f82229986c8e,Data Prep,53.6,8,2,28.2,No,Mobile
88df5b5e-eb7e-4204-8344-3524321b8640,DL Advanced,52.1,4,5,24.4,Yes,Mobile
80dd52cd-cb2d-4c90-aa76-530730dffb6d,DL Advanced,77.2,8,2,56.0,Yes,Desktop
cc15f5e3-3a36-42fb-a509-e50658317030,DL Advanced,34.5,4,4,2.2,Yes,Mobile
c9878c2a-5071-402a-9ed1-7960dbc6fc6e,ML Basics,100.6,4,3,52.1,Yes,Desktop
90fcf83e-382b-494c-a56b-bb56d47114a3,ML Basics,95.2,1,3,39.2,No,Mobile
24f2f55e-3d51-408b-97f4-070af7e51f4a,DL Advanced,51.1,3,2,57.7,No,Mobile
25fb4fa1-f0b2-4c46-8879-65d02b0d1ad1,DL Advanced,38.4,8,2,70.2,No,Mobile
d9a10a29-8712-4c98-88bc-392900517510,ML Basics,9.6,6,1,63.4,Yes,Tablet
f585f742-944c-4ec7-b0af-fce48c8a2f75,AI Ethics,28.7,6,3,98.5,Yes,Tablet
96c26a9c-d471-44c0-ad51-d71cfdded797,ML Basics,78.2,9,5,13.8,Yes,Desktop
255e517d-d3d0-4d70-a1e8-b54806ee0188,ML Basics,67.9,4,1,43.0,Yes,Mobile
e75e403f-3153-49b1-92ab-589554603bd2,ML Basics,72.3,3,2,42.5,No,Desktop
ca28e544-b2c8-48b3-bad6-f57df3820e18,DL Advanced,13.9,8,3,41.7,Yes,Tablet
86209bc7-aa5c-47e4-8719-d307be423cec,AI Ethics,50.1,3,2,66.4,Yes,Tablet
2651766d-2a84-4ad9-aba3-a63dcb6fa163,ML Basics,94.2,2,3,49.0,Yes,Tablet
d0dfa1d3-b824-4293-bfdb-945ba25cef53,DL Advanced,57.6,2,4,51.7,No,Tablet
26c7890b-2e08-46fa-823c-3f1ad507a232,Data Prep,28.2,7,1,43.2,No,Desktop
0cc3a5fd-c7e6-4836-8f5d-06ad3f64631d,Data Prep,57.2,5,1,99.2,No,Mobile
9b4af458-9889-4704-b527-a4e56f0b8b9a,ML Basics,40.7,6,3,92.8,Yes,Desktop
8f93f02b-fb2d-4acd-8902-0f463a1f48c3,Data Prep,68.3,5,3,30.8,No,Mobile
c95d0258-2a84-41ce-bc38-d8bdddf138d2,AI Ethics,60.5,9,3,11.2,Yes,Tablet
4d6aac45-b2fa-45e1-bbdb-4730bb03871c,Data Prep,320.0,4,2,84.0,Yes,Mobile
7e27310c-df90-4358-b68d-653e95387287,Data Prep,29.6,5,1,99.7,No,Tablet
7e0a96d7-d0e1-4714-81ba-db15511d69f4,AI Ethics,48.8,7,3,29.3,Yes,Desktop
609ffe98-2646-47fb-a65e-9f5bba21edaa,ML Basics,87.3,3,5,35.8,No,Mobile
7cc7634d-068d-4a75-bcc2-166e1edad5fd,ML Basics,26.1,8,0,94.2,Yes,Desktop
94efde57-9653-4b9f-b54c-7e54ec5f7b35,AI Ethics,34.9,5,8,71.1,No,Tablet
538d0424-289f-4c60-9e44-1861e69ac7f5,AI Ethics,65.0,5,4,,No,Desktop
22f8808b-4cd9-4b5d-bd1d-2e9842bd34a5,AI Ethics,67.2,2,1,58.1,No,Tablet
90150395-c0b9-4d07-a748-43106e252313,Data Prep,47.8,8,6,94.4,No,Tablet
4c24a7f4-bb56-4eed-90c8-7e8002355b5f,AI Ethics,53.0,9,0,81.2,No,Tablet
1e0d065c-5c94-4e0e-add8-527ff9935482,DL Advanced,73.3,3,7,74.2,Yes,Desktop
94e81143-be76-4411-ba8d-286f5aaf42cd,Data Prep,81.2,4,1,73.7,No,Desktop
fd7e5899-07be-40bc-b790-1d87cd952600,ML Basics,33.3,4,3,17.8,No,Mobile
0cd9bc7b-ad92-452c-bcda-f45d8bd6a8a1,ML Basics,69.1,4,1,82.5,Yes,Mobile
64166342-6eff-49d6-9d4a-04591a7700e6,ML Basics,97.8,9,1,27.6,No,Desktop
8038dd7a-068a-40e7-848b-6b4567ec76ec,Data Prep,57.1,5,2,,No,Desktop
2faa7092-c608-4e58-930e-f2a6ff30ba80,DL Advanced,33.0,6,8,36.5,No,Desktop
c2456c2a-c98e-44cf-9688-1a1b08de77e1,AI Ethics,31.8,7,2,85.8,Yes,Desktop
b012102a-45fc-4437-bceb-4a9b07c2023d,AI Ethics,56.0,11,6,26.6,No,Tablet
4c9b87aa-adc1-404e-b8a9-a858705aa0c7,ML Basics,85.9,10,3,51.5,Yes,Tablet
7ed3bf60-4fd1-4f46-a248-6e10ba0f3374,ML Basics,59.0,7,3,10.7,Yes,Tablet
ccaa36ff-7850-4dc2-bc2d-b8f190f01210,Data Prep,64.7,4,5,66.0,No,Desktop
67df0753-441e-4ea8-86d3-41486c3f3fb8,DL Advanced,320.0,5,8,83.6,Yes,Tablet
b3baf888-5b5b-4cfa-bf92-1ae910a0ebd8,AI Ethics,84.6,4,3,71.8,No,Tablet
3d9bf908-9ecf-428a-b3e2-01213be99054,Data Prep,31.4,5,2,52.3,Yes,Mobile
b9129540-b9e2-48ce-8f3a-4b80c4047700,AI Ethics,47.4,6,2,4.5,Yes,Mobile
a3add08e-655b-4c07-b5df-e3e078baa6ab,ML Basics,75.7,6,3,93.3,Yes,Tablet
cde08d04-81cf-45ee-95fd-53309b30d305,AI Ethics,9.0,0,6,70.5,No,Tablet
fe081adf-fc3b-4240-8717-0b23107076d8,DL Advanced,64.3,4,3,74.6,No,Tablet
7cb77dad-7ec4-4a5f-8682-a8bd4ae502c0,DL Advanced,34.0,4,4,79.5,Yes,Desktop
6f043b88-8d07-4bbe-990d-8dae882edbe5,ML Basics,60.4,7,4,74.8,Yes,Mobile
bfadf15b-4018-414f-a524-1f79ec95a44d,DL Advanced,51.2,9,3,44.1,Yes,Mobile
daad48e5-d75d-44fe-9b68-38b2df78c286,DL Advanced,112.6,3,4,73.4,No,Mobile
24923ca5-7021-4fce-8feb-2fe7cdee70df,Data Prep,50.2,3,5,62.5,Yes,Tablet
1da66307-857d-48f5-ac8d-c2cb3b937adb,AI Ethics,106.1,4,6,85.4,No,Desktop
36af8aa6-3c44-4781-86c5-697361ad8bee,ML Basics,74.7,3,3,80.2,No,Mobile
f85e6f72-f7a2-489a-b284-891ff7f0a853,ML Basics,40.0,5,4,4.1,No,Mobile
7b316bf4-8ab5-45d2-9a2e-4f2d09e7b28f,ML Basics,68.3,7,6,37.9,No,Desktop
62e2afa7-4d5d-4e98-9201-34cf451158c6,ML Basics,52.4,2,2,3.5,No,Tablet
0eec8e0f-9c43-4bfb-842e-74b57403631d,ML Basics,66.1,8,8,10.2,Yes,Tablet
439362bd-b67f-43d5-973e-c0d5844d74a2,DL Advanced,42.2,5,3,60.1,No,Mobile
7b9f5ece-111f-4a83-b6fd-acba22bb6c77,Data Prep,102.3,6,1,87.4,No,Mobile
6bfcb63a-60f2-41e8-a8af-a1eeb3bcf770,ML Basics,83.1,4,4,12.0,Yes,Desktop
996b5272-240c-454b-a5ef-05661778710e,Data Prep,60.8,5,4,45.1,No,Mobile
f8c2cdaa-9059-4a8f-aee5-fac44639839b,Data Prep,103.2,9,1,91.1,Yes,Desktop
d23e04f3-5301-4d7d-aee8-012fb7abdb1e,DL Advanced,61.9,3,1,81.4,Yes,Mobile
2b9ee657-f74a-4416-9134-20e242778584,ML Basics,87.4,4,5,52.0,Yes,Mobile
7cd2bb4f-e95d-48c8-ad4d-b021a9774d44,DL Advanced,61.0,5,4,77.2,No,Mobile
b0004e10-ae04-41b7-82bf-3b7a6676a9c7,ML Basics,69.8,4,3,52.3,No,Tablet
70e26d42-1791-4995-b237-8150b9946009,DL Advanced,58.0,3,2,15.8,No,Desktop
866b4dc7-6e8e-4496-a821-e30f347b6518,Data Prep,62.4,9,1,12.5,Yes,Desktop
327267c6-874f-4af6-a205-505531ca20f6,ML Basics,64.3,4,5,18.8,No,Tablet
e22fdf55-e5c7-4923-b196-eb406523b89b,AI Ethics,43.3,5,5,35.1,Yes,Tablet
a7b2499c-b87e-43c1-9e9e-1a79e3e9f70c,Data Prep,50.0,4,2,93.1,No,Tablet
b4933493-bf47-4c90-b61a-c3ffa8cbeb80,AI Ethics,54.6,5,4,80.0,Yes,Desktop
54b9422d-0f69-4c57-bda4-d1494999daaf,Data Prep,65.7,5,6,43.3,Yes,Mobile
d69bfab4-9c03-4fb0-83e2-3515dffe342a,DL Advanced,59.2,9,2,49.3,Yes,Tablet
21277138-104a-49cb-b611-322f199059de,ML Basics,89.3,5,4,26.6,No,Tablet
715ffee3-66d1-4655-88d0-7b2384d7c6b3,Data Prep,81.2,8,3,,No,Tablet
8472c7e4-58bb-4c96-bf91-1f51ea14e5bb,DL Advanced,55.1,5,4,80.3,No,Mobile
f65788d9-0818-4f85-9cf4-198e2e71866e,ML Basics,94.5,2,5,23.9,No,Mobile
d3610182-30bd-46d5-9b29-b13d96394687,ML Basics,106.8,3,0,4.2,No,Tablet
ab309787-a9c3-4b14-a63b-af52ea8835b2,Data Prep,8.9,2,4,62.4,No,Mobile
cb978bea-45fa-444a-90b1-868813c87c5e,ML Basics,83.3,5,1,56.3,No,Tablet
31408390-5d12-4516-8e1e-13162fb6042e,Data Prep,42.7,3,1,40.2,Yes,Mobile
d940f5b8-9611-4858-a144-8a5bfe66ec87,ML Basics,80.0,3,3,64.4,Yes,Desktop
4e6d8931-793a-4aeb-8477-7d9b3d730ab0,AI Ethics,91.0,6,2,55.1,No,Desktop
a73dd997-51e6-4d7e-a3b0-ac505c3c7611,DL Advanced,38.1,6,1,25.1,No,Mobile
b976984d-e607-46cd-85fb-21ce6f608c23,AI Ethics,13.7,6,2,39.8,Yes,Desktop
ee06b061-d09a-4e54-9179-144d16bba180,Data Prep,80.9,5,2,42.8,No,Desktop
b59d5dba-8d2c-4b07-afc1-a6e6e09e4dfd,AI Ethics,63.4,4,4,88.0,No,Desktop
10fdeb0f-fad3-4b78-9f39-a65d5dbe5a4f,Data Prep,18.3,2,5,96.1,Yes,Tablet
d9760ea7-e352-4adb-a4a7-3634792bd689,ML Basics,123.2,6,3,89.3,No,Mobile
76000c06-fed8-4153-ac8d-7ae04dc476dd,ML Basics,75.6,5,3,71.9,No,Mobile
ab6bd818-3874-4c80-898b-7d6340675d76,Data Prep,76.8,4,1,58.5,No,Mobile
814f7a1a-dd2d-43ac-922e-f62630b28bd9,AI Ethics,94.1,4,0,68.9,Yes,Desktop
7bbf6515-aea0-4930-a502-4945b19ab854,ML Basics,45.5,4,3,93.9,No,Tablet
8945139c-d902-4111-bca4-43e00f9ece05,DL Advanced,63.3,7,7,25.0,No,Mobile
1bf8dce6-23f9-4cda-9421-902cba640a7b,ML Basics,27.0,4,1,53.5,No,Desktop
998e2af9-0638-4279-8b81-6b984e44fad5,DL Advanced,44.8,5,8,69.0,No,Tablet
0fe101fd-6f4c-4a81-8738-cea605378585,AI Ethics,69.6,4,4,67.9,Yes,Tablet
4b2a0797-5161-4b1c-848c-5e1122486b42,DL Advanced,18.4,3,5,25.2,No,Mobile
bd49f6fa-6a11-460c-a3ff-db30bcb6ab05,DL Advanced,44.1,6,3,58.7,Yes,Mobile
a69c26e2-8205-4c51-b2be-d3bcb4debb59,DL Advanced,36.8,7,4,79.6,No,Desktop
2ec90029-017b-46a1-9045-349ffc20d927,DL Advanced,63.6,8,4,47.5,No,Mobile
6a1729b4-b00e-4dfe-b14d-401e104414e7,ML Basics,74.4,3,3,79.3,No,Desktop
ef94a414-cbc5-4879-ba74-3c7384df7d9f,DL Advanced,78.6,3,4,36.0,No,Tablet
eb8b7df0-260e-4b7a-b19a-443ce0f254b8,ML Basics,320.0,6,4,93.9,No,Tablet
3d1c4eb9-04ec-4120-b39d-b802525c1f4c,DL Advanced,94.3,3,4,53.4,Yes,Tablet
47d1cbb7-8ff5-44c2-89e1-5629b993c220,Data Prep,75.2,3,3,59.6,No,Tablet
d17d4e08-2ca1-4935-9413-5480fda72f14,AI Ethics,107.2,3,7,3.1,Yes,Mobile
3e39343a-91ec-493e-8f82-0a3def9ead5d,DL Advanced,63.0,4,3,17.0,No,Mobile
cf5303f1-824c-4cc0-a1de-49cb1b521a85,Data Prep,55.7,4,1,63.3,Yes,Desktop
0161c501-75af-4db7-9d3b-721a960039a3,DL Advanced,75.2,1,5,42.0,No,Desktop
e313063e-9b30-4e04-8a47-301f4ac418c6,DL Advanced,54.6,5,3,50.8,No,Desktop
17da3bb3-5cf4-4634-b591-858170811ab2,DL Advanced,106.3,10,4,6.3,No,Desktop
7196de5b-695a-41e9-8843-d0f744f4e44c,Data Prep,88.3,4,3,83.4,Yes,Desktop
e029b488-ea8a-4717-a67c-dd51bec25f1d,AI Ethics,78.8,9,3,78.5,No,Tablet
75e6d17d-ba75-4979-8be9-54bc52243b75,Data Prep,63.3,2,4,18.5,No,Tablet
5dbb2b14-2522-49cd-a2ea-fe0772e123d4,AI Ethics,49.8,5,0,63.4,No,Tablet
acd7b196-49de-434c-bb41-5255fd4bfb68,DL Advanced,77.5,9,3,81.8,No,Desktop
a9a78c05-921e-4cc3-96ea-9179d5694294,ML Basics,31.8,8,5,64.1,No,Tablet
82926b65-bb29-483a-ac1e-f23151e5f6fe,DL Advanced,98.4,2,3,31.0,No,Tablet
449e557e-b6d8-4e81-b0df-9312b1514025,AI Ethics,55.6,3,2,,Yes,Tablet
8dbc0768-6814-49e0-abf9-c8e2943bbc49,Data Prep,67.6,3,2,21.0,No,Tablet
ea998d89-7a1b-47f2-8247-660221ce2061,DL Advanced,37.3,4,4,31.8,No,Mobile
5b49d39f-aaf2-4e88-a2db-8fe14c47a2c2,Data Prep,78.1,2,5,24.0,No,Desktop
75c13f0b-2fe5-496a-be5c-4d7f1d5841ce,Data Prep,48.7,6,6,55.7,Yes,Desktop
7b861491-0c79-42f5-9f75-f8fecdf4d327,Data Prep,76.2,2,4,10.8,No,Mobile
185c600e-1883-4c97-8ca1-47494494be8c,DL Advanced,78.9,6,3,93.3,No,Tablet
b9f84191-11ad-4f3f-8a84-aeaab96f7903,Data Prep,43.8,5,7,33.4,Yes,Tablet
86e463a3-0437-49db-b4cc-ca63558cc2ae,Data Prep,31.9,6,2,21.9,No,Tablet
11fd4510-3383-4249-bd23-8f1ff75f0049,DL Advanced,98.3,4,2,49.7,Yes,Desktop
b7fb80c6-f7a2-4cbf-a934-e0ae791c7e7c,Data Prep,55.2,3,3,27.7,Yes,Desktop
833f8465-4845-4260-bf52-a4ba253f7f4d,DL Advanced,65.6,3,2,53.5,No,Desktop
b77bc70e-76d6-449e-ab05-8b668346ea16,AI Ethics,72.1,2,3,34.9,No,Desktop
65e07a38-d2ef-47a2-bcfc-f3d87ebdbdaf,AI Ethics,28.7,7,2,13.2,Yes,Desktop
6b9d8f42-b519-4ebb-9ee3-491c77c3bb6c,AI Ethics,71.6,3,2,,No,Mobile
c5a103da-46f4-4c18-be76-ff928f459c0f,Data Prep,62.5,7,3,43.8,No,Desktop
b6e12559-f9d2-4480-b041-6491f27a871a,ML Basics,43.9,3,6,3.0,No,Tablet
de28a84f-9015-4bcf-b7d2-77594aeca519,ML Basics,31.1,4,2,77.1,No,Desktop
a85d6936-3329-4333-b1bd-3bc7f6a8059e,Data Prep,75.1,4,7,62.2,No,Mobile
c4368b46-7510-4c09-9b82-cc6bed89163b,ML Basics,88.2,6,3,60.1,No,Tablet
fd409f9e-40d3-474c-9450-9e30316ef97c,DL Advanced,64.5,4,4,54.6,Yes,Mobile
ecdf7d10-25d0-4702-8dbb-bef624d069f0,ML Basics,24.1,2,1,59.0,No,Tablet
8439e270-96d1-4006-bfd6-af8264f67366,Data Prep,33.6,5,0,93.5,No,Desktop
cb0dcaa0-08f9-4fba-99fe-923d519d0900,Data Prep,49.2,5,3,0.9,No,Mobile
76afe682-a86a-457c-a317-a7db926a1579,DL Advanced,99.1,4,4,4.8,Yes,Tablet
